fill_duration,initial_weight,quad1_adc_low,quad2_adc_low,quad3_adc_low,quad4_adc_low,quad5_adc_low,quad6_adc_low,quad1_adc_high,quad2_adc_high,quad3_adc_high,quad4_adc_high,quad5_adc_high,quad6_adc_high,quad1,quad2,quad3,quad4,quad5,quad6
1000,62.15301818181819,258,270,262,267,260,261,301,308,311,313,307,313,0.4222727272727127,0.95505454545455137,1.2415181818181722,0.78937272727273466,0.93711818181818529,0.81462727272726454
2000,62.070899999999988,258,278,275,272,266,266,306,313,314,315,310,314,0.54417272727271637,1.8258181818181853,2.2755818181818199,1.4121181818181867,1.75565454545454,1.4999545454545569
3000,62.026899999999998,257,287,287,275,272,271,314,320,322,322,316,322,0.64211818181818359,2.4951272727272737,3.1372636363636204,1.8364454545454691,2.4243999999999986,1.9380000000000024
4000,62.006854545454537,260,300,304,282,282,276,299,306,308,310,305,311,1.1527272727272759,3.3015636363636247,4.1354181818181885,2.4458181818181757,3.2111727272727464,2.4784454545454508
5000,61.993399999999994,265,313,329,289,293,282,298,306,310,312,307,310,1.6296545454545495,4.0911454545454475,5.1543818181818253,3.0300999999999902,3.9995090909090862,3.0003636363636517
6000,61.975572727272727,262,324,351,294,304,283,313,320,322,322,316,321,1.5092363636363615,4.5538545454545556,5.8112909090909,3.3261090909090854,4.5173727272727291,3.1616999999999962
7000,61.923272727272725,272,349,398,307,328,291,312,318,321,320,314,320,2.4357454545454473,5.4721000000000046,6.923854545454553,4.0868090909090853,5.606045454545459,3.8206363636363534
8000,61.898409090909098,277,367,409,321,352,297,312,318,318,319,312,315,2.9761454545454455,6.0348545454545501,7.7158000000000015,4.7839090909090913,6.4023818181818157,4.1707090909090923
9000,61.867336363636362,276,384,409,339,375,299,305,311,312,312,308,312,3.1013090909090941,6.4551181818181824,8.3489181818181706,5.402536363636365,6.9714363636363643,4.3918363636363651
10000,61.822427272727261,309,411,409,380,408,310,315,320,320,320,314,319,4.8901727272727236,7.2066363636363633,9.2883454545454569,6.5860090909090943,7.9211090909090913,4.9280090909090859
11000,61.792654545454546,294,411,409,402,408,304,306,312,315,315,310,313,4.3209636363636328,7.3560909090909057,9.6088818181818141,7.0212000000000074,8.1807909090909092,4.8387090909090915
12000,61.752481818181813,345,411,409,409,408,318,316,319,320,319,313,316,6.1716818181818187,8.1988363636363601,10.264863636363636,8.107036363636368,9.2758636363636384,5.4303000000000026
1000,61.728218181818171,257,271,263,268,261,260,304,310,312,313,307,313,0.35192727272728064,1.00088181818181,1.269490909090905,0.85718181818181449,1.0370363636363678,0.75679090909090974
2000,61.686472727272729,256,278,273,272,267,263,305,315,318,318,311,315,0.33711818181818387,1.7062181818181728,2.1690545454545571,1.3929636363636249,1.7731363636363753,1.23570909090909
3000,61.654327272727279,259,289,289,279,276,271,304,312,314,315,309,314,0.88829090909090525,2.5967636363636473,3.2471909090909037,2.177927272727274,2.7131818181818019,1.9286090909090987
4000,61.633763636363639,262,301,307,288,288,274,301,306,309,310,305,309,1.4102090909090919,3.4127909090909085,4.290536363636356,2.8218727272727477,3.5858181818181833,2.4735636363636289
5000,61.619354545454534,262,310,326,292,296,277,307,314,316,317,311,314,1.3457181818181851,3.9129090909090891,5.0464363636363601,3.2156909090909096,4.1056000000000026,2.731363636363632
6000,61.593236363636372,268,328,365,307,315,285,306,313,315,315,309,313,2.1024545454545418,4.8023818181818285,6.2154999999999916,4.0501727272727308,5.0957363636363553,3.3381181818181815
7000,61.569236363636371,276,352,409,332,341,291,303,310,311,312,307,309,2.9065999999999974,5.6294454545454542,7.2866272727272801,5.1624727272727142,6.0719636363636624,3.8547545454545329
8000,61.545990909090911,269,358,409,339,353,288,305,312,314,314,308,312,2.4040363636363686,5.8411545454545291,7.7438181818181917,5.3859272727272725,6.4028636363636409,3.7808363636363538
9000,61.516990909090914,293,394,409,380,397,298,312,316,318,318,312,315,4.1398363636363662,6.7417818181818205,8.837381818181818,6.5531909090909082,7.4553727272727315,4.4493272727272597
10000,61.491309090909105,320,411,409,409,408,305,320,324,325,323,316,320,5.3438000000000017,7.3841181818181809,9.6981090909090923,7.3481090909090909,8.3138727272727238,4.90656363636365
11000,61.461372727272732,292,411,409,409,408,300,313,317,317,317,311,313,4.2658545454545482,7.5052000000000021,9.9992727272727251,7.420981818181815,8.5257909090909152,4.7703090909090875
12000,61.438018181818173,374,411,409,409,408,321,307,312,314,314,310,310,6.8738272727272793,8.5200818181818185,10.256772727272718,8.774481818181826,9.7450545454545292,5.6036272727272731
1000,61.417281818181806,258,271,263,268,261,259,300,309,312,313,307,312,0.39191818181818405,1.0394818181818195,1.298636363636362,0.89074545454545984,1.0902818181818219,0.75256363636363233
2000,61.366309090909105,258,279,274,275,268,263,294,301,305,306,303,304,0.5614272727272791,1.8594272727272738,2.32439999999999,1.6056272727272827,1.9624363636363569,1.3286727272727248
3000,61.345209090909094,261,289,290,282,279,269,303,310,312,312,307,310,1.0891727272727181,2.7006636363636503,3.404409090909077,2.4371545454545611,2.9056727272727159,1.9697272727272761
4000,61.327963636363641,263,303,311,292,291,276,305,313,315,316,310,314,1.5669181818181883,3.5084636363636292,4.4731454545454525,3.1820636363636439,3.7747181818181872,2.5039272727272675
5000,61.303272727272727,264,314,336,301,302,278,302,310,312,314,309,312,1.7232272727272715,4.1359636363636412,5.390309090909092,3.7595545454545416,4.4533818181818106,2.8688272727272874
6000,61.276063636363638,270,334,377,320,324,286,300,308,308,310,304,308,2.4626454545454521,5.0349818181818193,6.5089818181818231,4.6445272727272666,5.4636818181818256,3.4425727272727329
7000,61.253400000000006,276,353,409,340,348,288,313,319,320,320,314,318,2.9330636363636415,5.7098909090909089,7.3716545454545397,5.4072909090909107,6.2528454545454508,3.7883818181818256
8000,61.222999999999999,279,372,409,360,373,290,308,313,314,314,308,310,3.2967454545454622,6.2203181818181825,8.1134090909090943,6.0178727272727173,6.9237909090909042,4.0138545454545493
9000,61.198536363636364,306,406,409,400,408,300,315,321,323,321,314,318,4.7288181818181805,7.0071272727272707,9.1134090909090943,7.0072545454545505,7.875236363636354,4.5632545454545408
10000,61.169627272727276,297,411,409,409,408,297,310,315,315,316,311,313,4.4618909090909042,7.2687090909090948,9.5715363636363655,7.2931818181818144,8.2704727272727254,4.5807818181818192
11000,61.143663636363641,338,411,409,409,408,308,314,319,320,320,314,317,6.0144636363636348,8.0247181818181801,10.272590909090916,8.2402363636363631,9.1765727272727204,5.1123909090909123
12000,61.120827272727269,409,411,409,409,408,332,321,326,326,325,317,320,7.6413909090909105,8.9107454545454523,10.253709090909087,9.3579545454545467,10.218454545454549,5.8588636363636368
